model,tuned_on,rmse,rloss,rloss_skill,rloss_vs_constant,avg_eps,eps_sd,oracle,oracle_bias,n_complete,n_pruned,n_failed,seconds,best_params
pooled_loglog,rmse,1.3631001917018355,0.8390525512671766,0.22168870317043082,-0.14606876666489915,0.6133302047571648,5.551115123125783e-17,1.2544376616267119,-1.0395934363603083,22,8,0,22.6,"{""use_controls"": true, ""ridge"": 0.10357570269883888}"
pooled_loglog,rloss,1.826026132258996,0.7533304151371429,0.2970745737214614,-0.00855903130062935,1.1362745939611458,1.1102230246251565e-16,0.8773380061939754,-0.5166490471563275,30,0,0,3.8,"{""use_controls"": false, ""ridge"": 1.0085210003683415e-06}"
twoway_fe,rmse,0.817865998479673,0.7749350728053817,0.27774750034616086,-0.0442632516246656,0.9050325474884753,8.326672684688674e-17,1.0265807201486137,-0.7478910936289981,24,6,0,77.1,"{""add_controls"": true, ""n_iter"": 16, ""collinear_tol"": 0.1799154923372389}"
twoway_fe,rloss,0.8184839371880481,0.7748427414765569,0.2778399629229821,-0.0441280484796745,0.9055787805453313,8.326672684688674e-17,1.026172699769361,-0.7473448605721421,30,0,0,91.6,"{""add_controls"": true, ""n_iter"": 16, ""collinear_tol"": 0.19908258438522833}"
poisson_glm,rmse,1.9353674869279134,0.7918857037394005,0.2654793769878723,-0.0749954489078335,0.8778546915508496,2.7755575615628914e-16,1.046289118578088,-0.7750689495666236,22,8,0,879.5,"{""use_controls"": true, ""alpha"": 0.9930962100999473, ""max_iter"": 400}"
poisson_glm,rloss,2.109370499395286,0.7913160353841061,0.2659533421144614,-0.07399696680600831,0.8790356898050146,8.326672684688674e-17,1.0454153417152452,-0.7738879513124588,25,5,0,776.7,"{""use_controls"": true, ""alpha"": 7.534372961313794e-07, ""max_iter"": 100}"
lgbm_demand,rmse,0.7464108932169783,2.451786400922607,-1.1349254514120668,-2.6011383226477522,1.1549402125639185,2.5452660726005436,2.6042943219756105,-0.4979834285535549,30,0,0,426.9,"{""n_estimators"": 1150.0, ""learning_rate"": 0.07439822191631738, ""num_leaves"": 72.0, ""min_child_samples"": 7.0, ""subsample"": 0.8026985063800371, ""colsample_bytree"": 0.4085388281619892, ""reg_lambda"": 0.0010533003221498516, ""delta"": 0.014603810459585387}"
lgbm_demand,rloss,0.8956968120697272,0.8044632681541797,0.25691828702061964,-0.0914016557923551,0.9325620166758044,0.5451650507940532,0.9910768446392791,-0.7203616244416688,27,3,0,198.5,"{""n_estimators"": 400.0, ""learning_rate"": 0.03327713599998169, ""num_leaves"": 38.0, ""min_child_samples"": 7.0, ""subsample"": 0.5161052964725793, ""colsample_bytree"": 0.40354676519484073, ""reg_lambda"": 0.009646488239203879, ""delta"": 0.183917587702783}"
dml_partialling,rmse,0.811504730817488,0.7547537682819176,0.29692922671087896,-0.0097092431078179,1.3791271998028087,5.551115123125783e-17,0.7629930647575708,-0.2737964413146646,27,3,0,2040.4,"{""n_estimators"": 850.0, ""learning_rate"": 0.04420054617297114, ""num_leaves"": 142.0, ""min_child_samples"": 30.0, ""subsample"": 0.9481194990370397, ""colsample_bytree"": 0.9435422528841315, ""reg_lambda"": 0.005283974872640041, ""n_folds"": 4.0}"
dml_partialling,rloss,1.022254621422861,0.7497256957011762,0.3009573512964281,-0.0026930307677360266,1.255912307726394,5.551115123125783e-17,0.8104553597890325,-0.3970113333910792,30,0,0,1132.7,"{""n_estimators"": 800.0, ""learning_rate"": 0.012871890443008238, ""num_leaves"": 34.0, ""min_child_samples"": 385.0, ""subsample"": 0.5504341782604273, ""colsample_bytree"": 0.846910781041792, ""reg_lambda"": 0.00022334266593965272, ""n_folds"": 4.0}"
r_learner,rmse,0.8121381165202168,0.8241357447684073,0.24040007780081424,-0.11154142238871023,1.4117057990067026,0.9741690485800218,0.9707853717751105,-0.2412178421107709,28,2,0,1209.1,"{""n_estimators"": 500.0, ""learning_rate"": 0.033357669460103045, ""num_leaves"": 136.0, ""min_child_samples"": 9.0, ""subsample"": 0.6185169897396464, ""colsample_bytree"": 0.42126297784727784, ""reg_lambda"": 0.6864321283259674, ""n_folds"": 4.0, ""final_n_estimators"": 250.0, ""final_learning_rate"": 0.021773127504715526, ""final_num_leaves"": 16.0, ""final_min_child_samples"": 83.0, ""min_weight_quantile"": 0.1869860183643709}"
r_learner,rloss,1.0744893799463906,0.7416636330674219,0.30906034759682227,0.006396726998997265,1.1367803832708927,0.3044424535381533,0.8183281092182083,-0.5161432578465805,25,5,0,736.2,"{""n_estimators"": 350.0, ""learning_rate"": 0.014029656536323643, ""num_leaves"": 39.0, ""min_child_samples"": 128.0, ""subsample"": 0.5691825091678592, ""colsample_bytree"": 0.9808086464853837, ""reg_lambda"": 71.71109947909592, ""n_folds"": 4.0, ""final_n_estimators"": 50.0, ""final_learning_rate"": 0.011121190396751615, ""final_num_leaves"": 16.0, ""final_min_child_samples"": 82.0, ""min_weight_quantile"": 0.15113385117411277}"
shrunk_per_product,rmse,1.160964392728719,0.8485389176787606,0.21767811812204943,-0.1667318519870276,0.4146449830961207,0.8602835327912535,1.379680817465509,-1.2382786580213527,30,0,0,42.1,"{""min_obs"": 7, ""min_price_sd"": 0.1649129544018433, ""tau2"": null, ""demean_week"": false}"
shrunk_per_product,rloss,1.1656739047625682,0.8281308118246684,0.23376686914649863,-0.1327027312421148,0.4854186291073581,0.7125530777973266,1.294770983726705,-1.1675050120101154,23,7,0,38.1,"{""min_obs"": 7, ""min_price_sd"": 0.0037467652608342713, ""tau2"": null, ""demean_week"": true}"
