num_leaves,delta,dead_zone_%,bias
8,0.015,15.987749556727382,-0.611443385149717
8,0.18,0.3592235245354273,-0.5953786444540361
16,0.015,9.422709374352362,-0.544573215393839
16,0.18,0.29935293711285604,-0.5223142305322284
32,0.015,3.857047458954107,-0.492710011325457
32,0.18,0.2947475073111198,-0.47914750041728826
64,0.015,2.4339696502176067,-0.4862839575418245
64,0.18,0.2947475073111198,-0.4857959579416462
128,0.015,2.033297257466553,-0.4959266468634935
128,0.18,0.2947475073111198,-0.5121487951784198
255,0.015,1.8283556312892901,-0.5508638936973083
255,0.18,0.2947475073111198,-0.5627723180886746
