arms,elasticity_sd,num_leaves,vus,ceiling,vus_norm,verdict,oracle_corr,oracle_bias,oracle_rmse,abs_bias
+/-10% (the motivating test),0.0,8,0.178729,0.2568845169707592,0.13370229164932962,plausible,0.4858458958415515,-0.32931654515889397,0.8253726639169713,0.32931654515889397
+/-10% (the motivating test),0.0,31,0.171734,0.24817120107969493,0.06217241003616287,plausible,0.25773416585694314,-0.4446004396490404,1.4902076891758989,0.4446004396490404
+/-10% (the motivating test),0.0,127,0.175772,0.22699590779217155,0.1509273639691776,plausible,0.05811647604967702,-0.8701196486445859,2.645097130467866,0.8701196486445859
+/-10% (the motivating test),0.3,8,0.177348,0.25247407891605034,0.12448031065533115,plausible,0.3663156440278758,-0.41469803492451685,0.9115297462289083,0.41469803492451685
+/-10% (the motivating test),0.3,31,0.174144,0.25219047841026926,0.08742984182873093,plausible,0.23875656935746312,-0.37019498640197823,1.4523449092386558,0.37019498640197823
+/-10% (the motivating test),0.3,127,0.176358,0.23424965240878443,0.14339901125874177,plausible,0.04861497843429816,-0.8433944516588092,2.7111384223301767,0.8433944516588092
+/-10% (the motivating test),0.55,8,0.176856,0.2518625599928343,0.11959887895445936,plausible,0.2784924036634631,-0.4184677680527349,1.015625109021377,0.4184677680527349
+/-10% (the motivating test),0.55,31,0.170852,0.24778214167747606,0.05159722399179209,plausible,0.2559380130384601,-0.42958228470862947,1.514421733648178,0.42958228470862947
+/-10% (the motivating test),0.55,127,0.177286,0.228838537612211,0.1708060763143946,plausible,0.06503809431049651,-1.0054636499429064,2.7246517787209457,1.0054636499429064
+/-10% (the motivating test),0.8,8,0.178665,0.2534320799274462,0.13828474829332627,plausible,0.23141358664976314,-0.41124352864229197,1.0977119072469241,0.41124352864229197
+/-10% (the motivating test),0.8,31,0.175876,0.2491744885186167,0.11161770031765403,plausible,0.18334790517764124,-0.43757888683802415,1.6173068000463464,0.43757888683802415
+/-10% (the motivating test),0.8,127,0.176466,0.22192467662048126,0.17733778942679568,plausible,0.08563152661728492,-0.9646729154153169,2.7762780768800237,0.9646729154153169
+/-25%,0.0,8,0.17644,0.38798425148123344,0.04415976860366538,plausible,0.8206737096787499,-0.23188624730557916,0.3739458961513996,0.23188624730557916
+/-25%,0.0,31,0.174656,0.369642511441809,0.0393610054545356,plausible,0.5002297034795106,-0.36338678121528734,0.7018213772210284,0.36338678121528734
+/-25%,0.0,127,0.177282,0.3006367932989248,0.07923657012336745,plausible,0.24481743824746144,-0.8784139083095931,1.3714035205928332,0.8784139083095931
+/-25%,0.3,8,0.179021,0.3893839707432829,0.05547091809751515,plausible,0.6749469878896229,-0.22543775903057073,0.4762201631593047,0.22543775903057073
+/-25%,0.3,31,0.175828,0.3709343620386718,0.04484964358485103,plausible,0.4633168098692383,-0.35259425739444517,0.7453314959132087,0.35259425739444517
+/-25%,0.3,127,0.17469,0.31526336379922837,0.05399402199482142,plausible,0.23896214145132452,-0.7744971526648351,1.3208662075759832,0.7744971526648351
+/-25%,0.55,8,0.178464,0.3809362192093362,0.05505837480565065,plausible,0.5166185235719307,-0.29379822391241506,0.6784756958227088,0.29379822391241506
+/-25%,0.55,31,0.182354,0.37140427775190055,0.07662164880297724,plausible,0.425327330987716,-0.37180533258499127,0.8386922159267451,0.37180533258499127
+/-25%,0.55,127,0.175496,0.32694375444486584,0.055087932128838675,plausible,0.27178014915230453,-0.7754410767337173,1.3586051901213843,0.7754410767337173
+/-25%,0.8,8,0.176707,0.3843001735643839,0.04613413383101928,plausible,0.44462547434739624,-0.28763373895856925,0.8327310609292697,0.28763373895856925
+/-25%,0.8,31,0.175704,0.3701011437579857,0.04442380398125241,plausible,0.42951105170400816,-0.3949150826702854,0.9520913733577848,0.3949150826702854
+/-25%,0.8,127,0.175348,0.32580422258321506,0.05455238572273807,plausible,0.2770944550362375,-0.7646403575684732,1.420662754166882,0.7646403575684732
+/-50%,0.0,8,0.174864,0.587170799805702,0.01949406126437043,plausible,0.8970497567430558,-0.20617908461746404,0.2943053347473104,0.20617908461746404
+/-50%,0.0,31,0.176006,0.5671864154760636,0.023318034531620128,plausible,0.7326276798699799,-0.3471163765505181,0.49550314023532654,0.3471163765505181
+/-50%,0.0,127,0.176942,0.48245274122690074,0.03253890580084265,plausible,0.48050915675531003,-0.7472620568102287,0.9459946620124355,0.7472620568102287
+/-50%,0.3,8,0.176644,0.586339137494325,0.023774095340722515,plausible,0.7817988905043002,-0.2103717944736605,0.4026075789981653,0.2103717944736605
+/-50%,0.3,31,0.173796,0.5826681685662771,0.01713775863976039,plausible,0.6911126520533358,-0.2821301139834209,0.5064308006967457,0.2821301139834209
+/-50%,0.3,127,0.1736,0.5037785619574967,0.02056686052965258,plausible,0.4781312180809611,-0.6695170357572786,0.8985950483895907,0.6695170357572786
+/-50%,0.55,8,0.174482,0.577125623204801,0.019040474592755645,plausible,0.6486194971944329,-0.24777898521329678,0.5885337493795131,0.24777898521329678
+/-50%,0.55,31,0.171044,0.5747514533831969,0.010726529083707281,plausible,0.6494359424977258,-0.311865061362685,0.6195296402790976,0.311865061362685
+/-50%,0.55,127,0.177156,0.48650937797646904,0.03279528644056951,plausible,0.5063993648309658,-0.7428023791293844,1.002458515437198,0.7428023791293844
+/-50%,0.8,8,0.175266,0.5645765276993202,0.021611259673274753,plausible,0.5666516959732214,-0.30498745047708997,0.7798533382094532,0.30498745047708997
+/-50%,0.8,31,0.172812,0.5581415232168339,0.015697900466682502,plausible,0.6207353844065128,-0.3904111487998976,0.7834131209431631,0.3904111487998976
+/-50%,0.8,127,0.17563,0.5049526805561673,0.026496316623545593,plausible,0.5569562557763268,-0.6881170102554852,1.0168103906735646,0.6881170102554852
