policy,profit_per_quote,se,conversion,matched_quotes,ess,pct_arm_cheap,pct_arm_dear,lift_over_best_flat,lift_in_se
Lerner via conversion_glm,86.35485892902618,2.8750045270084086,0.3368331128747795,13251,9626.291679459626,0.10232222222222222,0.8320333333333333,0.15952771960913026,0.05548781510098251
all dear,86.19533120941705,2.9794193222108456,0.32881732370905054,9005,9005.0,0.0,1.0,0.0,0.0
Lerner via glm_then_gbm (price shown),86.11999514677403,2.8742949816208476,0.336977199415511,13203,9615.903701023657,0.10472222222222222,0.8301444444444445,-0.07533606264301795,-0.026210275258712345
Lerner via glm_then_gbm (price hidden),85.63108880490124,2.8338253659214696,0.3361699783809091,13254,9631.526290413602,0.10263333333333333,0.8317111111111111,-0.5642424045158094,-0.19910980094298641
Lerner via conversion_gbm,85.46878274423533,2.843654638082932,0.3461580831726797,13260,9632.263744292237,0.14178888888888888,0.7923333333333333,-0.7265484651817218,-0.2554981380128246
Lerner via tlearner,82.97219301670384,2.3161887322400454,0.3488672427768695,13007,9614.67835332933,0.19665555555555556,0.7417111111111111,-3.2231381927132077,-1.3915697576147124
"Lerner via arm_posterior (none, isotonic)",79.86537547281473,2.080385607096473,0.3519673938835616,13165,9514.427108609054,0.19907777777777777,0.7337222222222223,-6.329955736602315,-3.042683873129093
"Lerner via arm_posterior (weights, free)",79.6712698685509,2.1563267849922974,0.35031625773267533,13030,9526.661250978046,0.2087111111111111,0.7268444444444444,-6.5240613408661545,-3.025543895420962
"Lerner via arm_posterior (weights, isotonic)",78.94728758238648,2.0992638990894346,0.3519675636646394,13379,9584.743636464436,0.22273333333333334,0.7076333333333333,-7.248043627030569,-3.4526595870935717
all control,75.41131907074383,0.820638896367066,0.3727593096176258,72076,72076.0,0.0,0.0,-10.78401213867322,-13.14099561501848
all cheap,55.955116732785115,1.7682756323833209,0.4274021751317412,8919,8919.0,1.0,0.0,-30.240214476631934,-17.101527568908196
