link,model,objective,vs_untuned,vs_oracle
logit,gbm (v1),logloss,-9.297459707363886,10.671770811941315
logit,gbm (v1),ipw_policy,-9.297459707363886,10.671770811941315
logit,gbm (v1),aipw_policy,-2.3397273977359454,3.7140385023133735
logit,gbm (v2),logloss,0.4099028883196265,0.4370405756510003
logit,gbm (v2),ipw_policy,-6.347438596417026,7.194382060387653
logit,gbm (v2),aipw_policy,-6.347438596417026,7.194382060387653
logit,tlearner (anchored),logloss,1.731885590184854,0.69464552336634
logit,tlearner (anchored),ipw_policy,-4.98872416046245,7.415255274013644
logit,tlearner (anchored),aipw_policy,-3.5490726369695,5.975603750520694
kinked,gbm (v1),logloss,-5.071166906818727,4.645420637743717
kinked,gbm (v1),ipw_policy,-7.833607812492923,7.407861543417914
kinked,gbm (v1),aipw_policy,-7.833607812492923,7.407861543417914
kinked,gbm (v2),logloss,18.72174439864195,0.0
kinked,gbm (v2),ipw_policy,6.579456211324832,12.142288187317117
kinked,gbm (v2),aipw_policy,-4.223173178992873,22.944917577634822
kinked,tlearner (anchored),logloss,5.270537936188232,0.7784560528865807
kinked,tlearner (anchored),ipw_policy,5.97782150167507,0.07117248739974191
kinked,tlearner (anchored),aipw_policy,5.97782150167507,0.07117248739974191
