link,model,select_on,logloss,ipw_policy,aipw_policy,regret,eps_rmse,pct_negative
logit,gbm (v1),untuned,0.5212311413287839,-83.51373577394892,-85.85055221292913,9.464434645984845,1.3235792641100674,0.0066
logit,gbm (v1),logloss,0.5221524647199153,-80.84275930454893,-83.05971099138226,18.76189435334873,2.4084853575584373,0.03783333333333333
logit,gbm (v1),ipw_policy,0.5221524647199153,-80.84275930454893,-83.05971099138226,18.76189435334873,2.4084853575584373,0.03783333333333333
logit,gbm (v1),aipw_policy,0.552917447886639,-78.32211186530206,-81.62058477696482,11.804162043720789,1.4305973957630425,0.0228
logit,gbm (v1),regret,0.5320073238700455,-81.71152057557366,-83.36967841588086,8.090123541407415,1.1449302811041753,0.0036
logit,gbm (v2),untuned,0.5179287783299252,-79.16154794995094,-78.2842044702984,8.872940431533703,1.4650449029065062,0.0
logit,gbm (v2),logloss,0.5166474683489257,-81.22936738861186,-81.12234909849282,8.463037543214076,1.374595251070711,0.0
logit,gbm (v2),ipw_policy,0.5162852081985994,-75.81794639657478,-77.61726127341966,15.22037902795073,2.3716540512692927,0.0
logit,gbm (v2),aipw_policy,0.5162852081985994,-75.81794639657478,-77.61726127341966,15.22037902795073,2.3716540512692927,0.0
logit,gbm (v2),regret,0.521696737313999,-79.06745405545699,-79.7970485103972,8.025996967563076,1.2907390405423373,0.0
logit,tlearner (anchored),untuned,0.5236077510980008,-80.73241844769741,-82.2933109438875,6.985183935818844,1.037899044439709,0.0
logit,tlearner (anchored),logloss,0.5226336832530887,-82.01479033375263,-83.69281929402985,5.25329834563399,0.7353834943714075,0.0
logit,tlearner (anchored),ipw_policy,0.5462065989025903,-80.87448716003409,-80.2043792450206,11.973908096281294,1.7627811509026319,6.666666666666667e-05
logit,tlearner (anchored),aipw_policy,0.5382592065510666,-81.3958368895539,-81.39128295559433,10.534256572788344,1.5515771919477268,3.3333333333333335e-05
logit,tlearner (anchored),regret,0.5291030109345155,-81.73607348122526,-83.56902073291594,4.55865282226765,0.8366763382320521,0.0
kinked,gbm (v1),untuned,0.6201484556175781,-108.01694364932881,-112.23710157709321,3.212184665994936,0.6375744879792168,0.0157
kinked,gbm (v1),logloss,0.620029958494382,-108.9378249861008,-112.20639552345496,8.283351572813663,0.9911967802544642,0.04986666666666666
kinked,gbm (v1),ipw_policy,0.6526279959499559,-107.71666746321968,-110.6573577426596,11.045792478487861,0.870009271749939,0.06543333333333333
kinked,gbm (v1),aipw_policy,0.6526279959499559,-107.71666746321968,-110.6573577426596,11.045792478487861,0.870009271749939,0.06543333333333333
kinked,gbm (v1),regret,0.6312162858122036,-107.47184775575492,-111.2296015331105,3.6379309350699467,0.6022754890501272,0.020566666666666667
kinked,gbm (v2),untuned,0.6182546683160913,-104.82672954522697,-107.29700340669707,33.88450278084837,1.0819389278294198,0.0
kinked,gbm (v2),logloss,0.6168959535134548,-107.84800611344788,-110.7052851504975,15.162758382206425,0.7236264939552082,0.0
kinked,gbm (v2),ipw_policy,0.623382963951413,-103.91860119350984,-104.78885042692662,27.30504656952354,0.9874376496368267,0.0
kinked,gbm (v2),aipw_policy,0.6170425375848928,-101.0021805758863,-104.94568064688981,38.107675959841245,1.5912596999483022,0.0
kinked,gbm (v2),regret,0.6168959535134548,-107.84800611344788,-110.7052851504975,15.162758382206425,0.7236264939552082,0.0
kinked,tlearner (anchored),untuned,0.622071651328092,-104.4666238523124,-109.56639370084837,6.191809788799292,0.7184948753299292,3.3333333333333335e-05
kinked,tlearner (anchored),logloss,0.6221543752047857,-107.83050578673318,-111.49752312291486,0.9212718526110605,0.5377284440704146,0.0
kinked,tlearner (anchored),ipw_policy,0.6241012118114738,-108.38197114086162,-112.62832480400388,0.21398828712422163,0.4232067782998794,0.0
kinked,tlearner (anchored),aipw_policy,0.6241012118114738,-108.38197114086162,-112.62832480400388,0.21398828712422163,0.4232067782998794,0.0
kinked,tlearner (anchored),regret,0.6252196536856787,-108.34279728372918,-112.52756780701247,0.1428157997244797,0.5448283324074092,0.0
